Gender,Marital Status,Occupation,Location,Customer Tenure,Customer Segment,Preferred Communication Channel,Credit Score,Credit History Length,Outstanding Loans,Balance,NumOfProducts,NumComplaints,Age,Exited
Female,Divorced,Student,Mulanje,8,Retail,Phone,478,19,5440667,0.0,3,2,42,1
Female,Married,Banker,Dowa,5,SME,Email,598,17,5772118,83807.86,1,4,41,0
Female,Single,Student,Nkhotakota,3,Retail,Email,704,14,6200263,159660.8,3,2,42,1
Female,Divorced,Student,Likoma,19,Corporate,Phone,599,19,4490411,0.0,2,2,39,0
Female,Divorced,Civil Servant,Phalombe,9,Corporate,Email,776,2,6239815,125510.82,2,2,43,0
Male,Single,Engineer,Nkhata Bay,8,Retail,Email,402,2,642869,113755.78,2,3,44,1
Male,Single,Farmer,Salima,5,Retail,Email,319,11,305738,0.0,4,3,50,0
Female,Divorced,Businessperson,Chiradzulu,13,Corporate,Email,789,14,3767854,115046.74,2,0,29,1
Male,Divorced,Businessperson,Mulanje,3,Corporate,Phone,692,13,5137590,142051.07,3,5,44,0
Male,Divorced,Civil Servant,Lilongwe,13,SME,Phone,799,16,6508652,134603.88,1,4,27,0
Male,Married,Businessperson,Phalombe,20,Corporate,Email,414,16,9873340,102016.72,2,5,31,0
Male,Divorced,Farmer,Mulanje,17,Corporate,Phone,817,9,2874294,0.0,3,5,24,0
Female,Single,Teacher,Mchinji,3,SME,Email,352,10,8062482,0.0,3,0,34,0
Female,Single,Nurse,Mangochi,9,SME,Email,609,3,480226,0.0,1,5,25,0
Female,Married,Banker,Blantyre,3,SME,Email,821,4,4034093,0.0,2,4,35,0
Male,Single,Nurse,Blantyre,2,Corporate,Phone,433,9,5498973,143129.41,1,4,45,0
Male,Divorced,Driver,Nsanje,19,Retail,Email,404,12,8357646,132602.88,2,2,58,1
Female,Married,Farmer,Mulanje,8,Corporate,Email,414,15,744493,0.0,4,1,24,0
Male,Married,Student,Chitipa,7,Retail,Email,308,8,6855816,0.0,1,3,45,0
Female,Single,Banker,Lilongwe,15,Retail,Email,805,1,121151,0.0,3,4,24,0
Male,Married,Engineer,Thyolo,2,Corporate,Email,567,15,9495020,0.0,3,4,41,0
Female,Single,Civil Servant,Likoma,16,Retail,Phone,421,20,7636881,0.0,3,1,32,0
Female,Single,Driver,Ntchisi,17,SME,Phone,330,6,359521,0.0,2,5,38,1
Male,Divorced,Farmer,Blantyre,17,Corporate,Email,572,6,2338370,0.0,4,1,46,0
Female,Married,Driver,Chitipa,5,Retail,Phone,603,2,8870894,0.0,2,4,38,0
Male,Married,Businessperson,Mzimba,8,Retail,Phone,701,12,7747223,0.0,1,3,25,0
Male,Married,Civil Servant,Nkhata Bay,9,SME,Phone,326,20,1605276,136815.64,1,4,36,0
Male,Divorced,Engineer,Dowa,10,Retail,Email,342,1,9334499,0.0,4,3,44,0
Female,Single,Teacher,Salima,1,Retail,Phone,733,20,7878609,141349.43,1,5,43,0
Male,Divorced,Student,Likoma,17,SME,Phone,839,5,7436815,59697.17,4,1,29,0
Female,Divorced,Banker,Karonga,17,SME,Phone,434,14,1626516,0.0,1,1,39,1
